Long,Lat,Mag_nT,Easting,Northing,Heading,Dir
-116.59860110982753,36.77735175732443,6.442891098418841,535818.8428181866,4070248.860665357,178.76993909781905,NS
-116.59860152854432,36.777371254352346,6.120902781583936,535818.7963820446,4070251.0233112737,178.72534435588378,NS
-116.59860196522992,36.77739071121123,6.598547133949978,535818.7483611534,4070253.181494526,178.6932869429652,NS
-116.5986024143226,36.777410119214046,6.9757450070228515,535818.6992558587,4070255.3342535463,178.68138000497555,NS
-116.59860286715067,36.77742947249424,7.152443101023891,535818.6498427147,4070257.480940802,178.69281638008792,NS
-116.59860331435368,36.7774487902906,6.728817371016703,535818.6009480505,4070259.623693952,178.71241262318838,NS
-116.59860375306648,36.77746809601848,5.605081707702993,535818.5528166433,4070261.765111533,178.72262800648897,NS
-116.5986041877628,36.7774874134611,5.281453134315598,535818.5050382148,4070263.907830139,178.7062115442371,NS
-116.5986046303488,36.77750677494605,5.858226462651146,535818.4565352692,4070266.055431409,178.68514974104372,NS
-116.59860508305508,36.77752619087601,6.035496609378242,535818.4071039241,4070268.209068475,178.6896747412612,NS
-116.5986055352778,36.77754566810008,6.013326439524462,535818.3576872252,4070270.3695050776,178.73115744978733,NS
-116.59860597311946,36.777565286679575,5.892447409371016,535818.3094880673,4070272.5456276066,178.8192106174366,NS
-116.5986063731348,36.77758488883292,5.371419560555296,535818.2646720078,4070274.719942152,178.91313280022914,NS
-116.5986067343028,36.77760455126315,5.150943288817871,535818.2232944629,4070276.9009577516,178.99636458324434,NS
-116.59860705933087,36.777624175903576,4.930123077740063,535818.1851594672,4070279.0777948676,179.05272426783762,NS
-116.59860736194253,36.77764390384921,4.910246823024863,535818.1489767453,4070281.266100013,179.0651093058269,NS
-116.59860765933098,36.777663637011614,5.09041836349752,535818.1132576991,4070283.454985818,179.03946191237927,NS
-116.59860796870193,36.77768343416634,5.171173840140909,535818.0764396286,4070285.650965804,178.991321463015,NS
-116.59860829708136,36.77770313097831,5.051012516260016,535818.0379720343,4070287.835807673,178.93815198761445,NS
-116.59860864776532,36.777722804112045,4.730634303186889,535817.9975251217,4070290.018014578,178.87951608027706,NS
-116.59860902148948,36.777742372860025,4.509302249620305,535817.9550707983,4070292.1886333707,178.83862186491962,NS
-116.5986094133792,36.777761981561866,4.388334449866306,535817.9109768935,4070294.3636774463,178.81290765055545,NS
-116.59860981525082,36.77778154348282,4.466939193369399,535817.8660140339,4070296.5335283936,178.80444513426858,NS
-116.59861021947388,36.777801045509456,4.64499697868996,535817.8208692273,4070298.696734401,178.81895420190645,NS
