mag,ydist,xdist
-118.5203867705313,-324.7421723366715,8.393941506859846
-127.31077036367802,-322.5195544869639,8.35579474561382
-136.50776597035346,-320.2977569825016,8.318169057951309
-146.076603737241,-318.076940104831,8.278813505312428
-155.96817840428503,-315.85765997320414,8.235833675018512
-166.12823220083698,-313.6385662937537,8.188001340138726
-176.48834819731528,-311.41838304745033,8.134926624596119
-186.96813525954826,-309.19553996855393,8.076597699080594
-197.45288350296534,-306.97257246170193,8.015098790987395
-207.82775885959882,-304.7500957068987,7.95204685558565
-217.96676824877386,-302.5297811618075,7.889406237169169
-227.77789445374873,-300.3051580968313,7.829228506190702
-237.07434515266547,-298.0928585845977,7.772538333316334
-245.7906461603422,-295.884455033578,7.718604230787605
-253.8066500663973,-293.68855795636773,7.6664061503252015
-261.1131369524417,-291.48734121676534,7.614110029884614
