Easting,Northing,Mag_nT
535834.6917007874,4069594.194297612,-247.94408410859867
535834.6587039904,4069596.34595674,-249.1584685855976
535834.6260051783,4069598.508327999,-250.30661889978677
535834.5916904069,4069600.664462526,-251.38782017719777
535834.5526853534,4069602.824345221,-252.4013894165233
535834.5076802701,4069604.977014483,-253.34667590780327
535834.4553652274,4069607.140785266,-254.2230616328377
535834.3957643878,4069609.307674566,-255.02996164708213
535834.3277810083,4069611.4887565305,-255.76682444279385
535834.2540447029,4069613.663557156,-256.4331322932056
535834.1763051914,4069615.842145359,-257.0284015775182
535834.0977273713,4069618.015705874,-257.5521830865116
535834.0215310628,4069620.200662766,-258.0040623085878
535833.9509019585,4069622.387937851,-258.38365969606986
535833.8876972027,4069624.5830739257,-258.6906309115933
535833.8340427298,4069626.765661082,-258.92466705443724
535833.7928119844,4069628.938039429,-259.08549486665606
535833.7631375536,4069631.094780087,-259.1728769188828
535833.7442271385,4069633.250514423,-259.186611775689
535833.7343321168,4069635.3976554,-259.12653414039784
535833.7288212313,4069637.547332889,-258.9925149792577
535833.7201506123,4069639.687756107,-258.784461624899
535833.702335664,4069641.8306628927,-258.50231785900587
535833.6715510659,4069643.97042697,-258.14606397415054
535833.6241037312,4069646.13002192,-257.7157168147466
535833.5630548022,4069648.303133301,-257.21132979709324
535833.491417741,4069650.475173568,-256.6329929084929
535833.4112768762,4069652.6538448734,-255.98083268543965
535833.3246930089,4069654.829769624,-255.25501217088325
535833.2349239297,4069657.015577912,-254.4557308505942
535833.1446017226,4069659.20205152,-253.5832245686587
535833.0550319415,4069661.3968754304,-252.63776542215228
535832.9683907784,4069663.5810574046,-251.619661635049
535832.8844580014,4069665.76461921,-250.52925741143656
535832.803257695,4069667.9385940935,-249.3669327681218
535832.7236712187,4069670.120296887,-248.13310334671988
535832.6465527428,4069672.2994525214,-246.8282202053363
535832.5719624838,4069674.484848192,-245.4527695899608
535832.5006976742,4069676.658176044,-244.0072726857059
535832.4318366379,4069678.828217333,-242.4922853480321
535832.3650464272,4069680.9862986216,-240.90839781411836
535832.2991078646,4069683.151949135,-239.2562343945432
535832.2343425616,4069685.318153271,-237.53645314545847
535832.1706967609,4069687.495450866,-235.74974552144403
535832.108906655,4069689.668294465,-233.8968360092492
535832.0486693701,4069691.846304923,-231.9784817426329
535831.9901739219,4069694.020503005,-229.9954720985297
535831.9329514327,4069696.2080597086,-227.9486282747772
535831.8766021605,4069698.399916692,-225.83880284965272
535831.8197600999,4069700.6026846697,-223.66687932347904
535831.7618655459,4069702.796128876,-221.43377164256657
535831.7016668088,4069704.987226288,-219.14042370577351
535831.6385360684,4069707.166495906,-216.78780885397325
535831.5729686769,4069709.351170678,-214.37692934272985
535831.5066004432,4069711.5345862433,-211.908815798492
535831.4412961971,4069713.726520437,-209.3845266586256
535831.3804754455,4069715.909000791,-206.80514759561564
535831.3249550809,4069718.092106303,-204.17179092577567
535831.2752112679,4069720.26542033,-201.4855950028148
535831.2299842762,4069722.445421269,-198.74772359661867
535831.1875878039,4069724.6225430192,-195.9593652576119
535831.1449468252,4069726.8062332426,-193.12173266707703
535831.1005972701,4069728.979123262,-190.2360619738128
535831.0529008697,4069731.151284413,-187.3036121175243
535830.9999484826,4069733.317359767,-184.32566413934367
535830.9409683142,4069735.4943236336,-181.3035204798894
535830.8760190501,4069737.675290267,-178.23850426527844
535830.8054613774,4069739.869299812,-175.1319585815126
535830.7310563663,4069742.059715227,-171.98524573766906
535830.6552387065,4069744.253479949,-168.79974651832902
535830.5800319702,4069746.442182753,-165.57685942568733
535830.5068333037,4069748.643404066,-162.31799991179054
535830.4381858231,4069750.848181024,-159.02459960135693
535830.3734906311,4069753.066837749,-155.69810550563872
535830.3121779985,4069755.279925788,-152.3399792277902
535830.2521975366,4069757.495610753,-148.95169616021167
535830.1908870823,4069759.705685266,-145.53474467434435
535830.1250472079,4069761.926939673,-142.09062530339406
535830.053053865,4069764.1510525495,-138.6208499184677
535829.9738297567,4069766.3868445377,-135.12694089860867
535829.888580339,4069768.61593198,-131.61043029522227
535829.8011623828,4069770.843037754,-128.0728589913853
535829.7150751224,4069773.058758897,-124.51577585653514
535829.6319632776,4069775.279071599,-120.9407368970396
535829.5546505747,4069777.492030402,-117.34930440314837
535829.482532183,4069779.708951829,-113.74304609283016
535829.4149498898,4069781.9112964943,-110.12353425300198
535829.3492725122,4069784.107867064,-106.49234487865655
535829.2833588242,4069786.288757126,-102.85105681039764
535829.2160039225,4069788.470587287,-99.20125087089164
535829.1482061255,4069790.6451493534,-95.54450900074532
535829.0806184807,4069792.822561886,-91.8824133943208
535829.014510727,4069794.98761125,-88.21654563599633
535828.9498450765,4069797.153863162,-84.54848583738357
535828.8876655512,4069799.3164032,-80.87981177601043
535828.8284155284,4069801.49617608,-77.21209803597645
535828.7741804505,4069803.687051717,-73.54691515108877
535828.7248994478,4069805.899582962,-69.88582875098322
535828.6812722854,4069808.1137877,-66.23039871073368
535828.6433490547,4069810.33666278,-62.58217830445098
535828.6114925974,4069812.556986932,-58.94271336337015
535828.5832949732,4069814.791079912,-55.31354143892111
535828.557027285,4069817.026054491,-51.6961909712764
535828.5309995648,4069819.268205851,-48.09218046386464
535828.504036523,4069821.49648288,-44.50301766433516
535828.4755231111,4069823.716899016,-40.930198752456114
535828.4453742458,4069825.919325424,-37.3752075354229
535828.4135108413,4069828.1212064354,-33.83951465104974
