Long Lat Mag_nT
-116.61331651463188 36.75488368769425 48732.5
-116.61329146148698 36.75488492987474 48735.7
-116.61326669521152 36.75488608101925 48739.4
-116.61324245049414 36.75488707792351 48743.3
-116.61321873863989 36.75488789988972 48747.2
-116.61319557982236 36.75488850566317 48750.5
-116.613172890051 36.75488886649416 48752.9
-116.61315074525469 36.7548889346542 48756.0
-116.61312887838096 36.75488879448326 48759.3
-116.61310709719784 36.754888486118425 48762.1
-116.61308521997384 36.75488804146232 48764.4
-116.61306310312624 36.75488747893943 48767.1
-116.61304064671236 36.75488686004704 48770.3
-116.61301778903004 36.75488623117965 48773.8
-116.61299453535476 36.754885639392654 48777.7
-116.61297080999351 36.75488515108998 48782.5
-116.6129467302903 36.754884792087054 48786.8
-116.61292236727564 36.75488458477164 48790.4
-116.61289782333816 36.75488453206982 48793.8
-116.61287310511234 36.75488464314078 48796.8
-116.61284832534167 36.754884862184575 48800.1
-116.61282354047164 36.75488515603476 48803.9
-116.61279878695522 36.75488549319531 48807.9
-116.61277408776526 36.75488583584033 48812.3
-116.6127494492181 36.754886152540166 48816.2
-116.61272486878576 36.75488642944912 48819.5
-116.61270033157356 36.75488666026492 48823.8
-116.61267585933751 36.7548868257903 48827.5
-116.61265134266148 36.754886930206446 48830.2
-116.61262697625038 36.75488697907837 48833.3
-116.6126026618244 36.75488698867096 48836.8
-116.61257841276615 36.754886974096834 48840.6
-116.61255419819346 36.75488695256868 48844.4
-116.6125300007582 36.75488693135262 48847.9
-116.612505801399 36.75488691111988 48851.6
-116.61248158789012 36.7548868789516 48855.4
-116.61245735736668 36.754886822234816 48859.0
-116.61243311306592 36.75488673180087 48862.7
-116.61240885116229 36.754886605890896 48866.4
-116.61238459508048 36.75488644489965 48869.7
-116.61236034210523 36.75488626776578 48873.5
-116.6123360984422 36.75488608728649 48877.4
-116.6123118782453 36.75488591393336 48881.0
-116.612287685129 36.75488576447589 48884.1
-116.6122635156108 36.75488564497205 48887.7
-116.61223936114348 36.7548855543612 48891.6
-116.61221521287744 36.75488548721926 48895.0
-116.61219103601344 36.754885441099646 48898.3
-116.6121668187266 36.75488541072558 48901.6
-116.612142546845 36.75488539741036 48905.1
-116.61211822321 36.75488540118759 48909.0
-116.61209384451531 36.75488542513053 48912.8
-116.6120694463494 36.754885464956 48915.7
-116.61204504970353 36.754885517642 48919.1
-116.6120206750388 36.754885580229306 48923.3
-116.61199633142662 36.75488565344239 48927.4
-116.61197201321504 36.75488573297861 48930.9
-116.61194771282952 36.754885814127086 48934.6
-116.61192341687064 36.75488589174899 48938.5
-116.61189912746998 36.75488595912521 48941.8
-116.6118748439598 36.75488601443912 48944.8
-116.61185056438184 36.754886059014446 48948.1
-116.61182627824468 36.754886096086885 48951.5
-116.61180196368036 36.75488612733814 48955.3
-116.61177760511222 36.75488614960689 48958.9
-116.61175319102652 36.75488616278512 48962.2
-116.61172871739667 36.754886170072645 48965.4
-116.61170417973416 36.75488617793324 48968.7
-116.61167960060048 36.75488618784664 48971.9
-116.61165499819089 36.75488619472456 48974.9
-116.61163038414996 36.7548861876508 48977.7
-116.61160579064612 36.75488615325291 48980.6
-116.61158122897848 36.754886092846974 48984.1
-116.61155671328343 36.7548860127594 48987.5
-116.61153225168862 36.754885921595125 48990.1
-116.61150786369768 36.75488582410396 48992.7
-116.61148353772272 36.75488572702295 48996.0
-116.61145926951828 36.75488564388891 48999.2
-116.61143505207076 36.75488558764518 49001.9
-116.61141083638682 36.75488557468408 49004.6
-116.61138659798252 36.75488559754115 49007.6
-116.6113623169332 36.75488564561184 49010.5
-116.61133798542753 36.75488570241759 49013.1
-116.6113136022822 36.75488575609892 49016.1
-116.61128917750588 36.75488580314457 49018.8
-116.61126472140865 36.754885836712326 49022.0
-116.61124024385651 36.75488585412376 49025.6
-116.6112157699311 36.754885852760594 49028.6
-116.6111913090418 36.75488584432503 49031.5
-116.61116686645138 36.75488583632795 49034.5
-116.61114244060168 36.754885830632965 49037.3
-116.61111802749352 36.754885822137446 49039.7
-116.611093622338 36.7548858037117 49042.1
-116.61106922207276 36.75488577666078 49044.6
-116.61104482202371 36.75488574255712 49047.7
-116.611020430167 36.7548856990307 49050.8
-116.6109960493968 36.75488565164128 49053.0
-116.61097168393502 36.75488560875241 49055.6
-116.610947345949 36.75488558528018 49058.3
-116.61092301570298 36.754885613122966 49061.3
-116.61089869456596 36.75488570435712 49064.5
-116.61087438257138 36.75488585996806 49066.8
-116.61085008543868 36.75488606593167 49068.5
-116.61082578874095 36.754886297604365 49070.7
-116.61080111357327 36.75488652355229 49073.3
-116.61077674080788 36.75488671932851 49075.3
-116.61075246519844 36.75488688213356 49077.9
-116.61072829206611 36.75488701244432 49081.0
-116.61070400832897 36.754887121047645 49083.1
-116.61067970497308 36.754887208461646 49085.3
